-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|
-1,-1|-1,-1|-1,-1|404,151|403,202|401,272|403,277|354,344|351,368|351,368|351,368|351,368|351,368|351,368|307,369|307,369|287,369|287,369|287,369|287,369|
287,369|287,369|302,375|302,375|354,373|354,373|354,373|354,373|354,373|381,364|381,364|381,364|381,364|381,364|381,364|381,364|381,364|381,364|384,301|393,249|
393,249|396,205|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|
-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|365,171|350,200|347,233|347,233|338,270|333,294|302,354|297,389|297,389|250,447|
246,451|246,482|246,482|233,531|215,570|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|
-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|
-1,-1|-1,-1|-1,-1|-1,-1|214,595|257,512|311,457|379,415|392,400|392,400|392,400|392,400|417,405|395,402|342,387|333,386|333,386|289,377|241,375|198,373|
163,368|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|
-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|83,341|117,346|149,344|200,340|278,348|278,348|337,356|337,356|381,349|381,349|381,349|
381,349|381,349|424,345|424,345|456,343|484,337|519,337|564,343|613,347|657,337|707,332|751,344|812,340|904,369|981,399|981,399|981,399|981,399|981,399|981,399|
955,383|955,383|955,383|955,383|955,383|961,383|961,383|892,365|857,364|857,364|814,361|779,361|722,361|722,361|681,361|681,361|681,361|681,361|681,361|681,361|
681,361|681,361|698,295|698,295|698,295|709,257|712,237|712,231|728,185|728,183|747,153|747,153|747,153|747,153|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|
-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|
-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|306,170|288,197|286,235|283,269|283,269|
283,359|283,359|283,359|283,359|283,359|295,353|295,353|295,353|295,353|295,353|295,353|295,353|295,353|295,353|268,351|245,348|225,346|225,346|225,346|225,346|
225,346|225,346|225,346|225,354|227,369|227,369|179,417|176,453|176,453|137,491|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|
-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|
-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|142,468|142,468|209,410|241,371|241,371|259,342|269,330|269,330|269,330|269,330|
264,330|264,315|257,315|233,315|203,314|203,314|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|
-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|99,332|99,332|120,329|137,328|137,328|181,312|197,312|
197,312|197,312|211,326|222,326|222,326|233,326|238,326|261,327|289,327|328,327|343,328|343,328|343,328|343,328|343,328|343,328|343,328|343,328|343,328|343,317|
343,303|342,279|341,268|341,261|356,224|360,205|360,193|362,160|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|
-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|349,131|342,145|341,162|336,170|325,186|
325,211|325,211|325,226|326,239|322,273|307,290|304,298|304,324|304,324|304,366|304,366|298,409|298,409|298,409|298,409|298,409|298,409|298,409|298,409|298,409|
296,438|
