-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|428,361|450,324|429,318|412,311|412,311|412,311|412,311|398,311|386,311|386,311|365,309|354,309|341,305|
303,304|275,316|275,316|275,316|260,318|260,318|260,318|260,318|260,318|260,318|260,319|260,319|260,319|261,319|261,319|261,319|261,319|261,319|261,319|261,319|
261,319|261,319|261,319|261,319|261,319|261,319|261,319|311,313|333,313|352,313|352,313|352,313|374,298|374,298|360,295|347,294|347,294|310,307|263,315|228,325|
228,325|228,325|228,325|228,325|228,325|228,325|228,325|228,325|228,325|228,325|228,325|228,325|228,325|228,325|228,325|228,325|228,325|228,325|228,325|228,325|
228,325|228,325|228,325|233,300|233,300|233,300|233,300|233,300|233,300|233,300|215,299|215,299|209,297|209,297|196,297|196,297|196,297|196,297|196,297|196,297|
196,298|196,298|196,298|196,298|220,304|220,304|235,314|235,314|248,316|263,312|284,295|299,282|311,261|315,230|315,230|311,266|311,266|291,268|291,268|265,271|
243,274|243,274|224,271|209,262|195,256|172,248|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|396,419|396,419|412,443|412,443|412,443|
411,428|398,398|384,365|384,365|369,365|369,365|369,365|369,365|362,351|342,343|326,338|317,332|302,321|281,316|270,300|270,300|296,322|317,345|361,371|398,403|
398,403|398,403|398,403|398,403|379,403|379,403|372,404|356,413|356,413|356,413|356,413|363,396|339,387|318,382|318,382|267,382|267,382|267,382|267,382|267,382|
298,368|298,368|298,368|297,346|298,327|298,327|298,327|273,363|263,404|250,464|250,464|266,431|266,431|266,431|266,431|266,431|266,431|266,431|275,401|275,401|
275,401|275,401|275,379|275,358|278,342|278,342|278,342|278,342|278,342|284,348|293,354|293,354|275,405|261,445|252,458|249,461|237,485|237,485|237,485|237,485|
252,435|252,435|263,409|263,409|280,384|298,354|298,354|298,371|298,371|306,360|306,360|306,360|309,365|309,365|290,334|290,334|290,334|290,334|290,334|290,334|
297,318|297,318|297,318|297,318|297,318|289,360|289,360|289,360|289,360|289,360|289,360|289,360|289,360|289,360|289,360|289,360|289,360|289,360|304,340|304,340|
304,340|309,309|309,309|326,292|338,276|338,276|338,276|337,281|311,298|297,322|290,332|267,351|257,357|265,358|265,358|296,363|331,371|362,366|386,366|386,366|
405,356|421,349|421,349|437,344|454,329|447,329|440,333|416,367|412,368|412,368|401,369|396,369|383,368|383,368|383,368|383,368|383,368|383,368|383,368|383,368|
383,368|383,368|383,368|384,361|384,361|384,361|384,361|381,345|381,345|370,342|347,341|340,341|331,341|316,341|302,347|302,347|302,347|272,347|261,347|261,347|
247,346|247,346|244,363|244,363|237,364|237,364|237,364|234,413|234,413|234,413|234,413|239,379|239,379|244,351|244,351|247,318|247,318|247,318|247,318|247,318|
247,318|247,318|247,318|247,318|247,318|247,318|244,337|244,342|244,352|244,352|244,352|257,323|264,306|277,292|277,292|278,288|278,288|278,288|278,288|278,288|
278,288|269,291|262,291|252,294|250,319|250,319|259,351|272,373|272,373|284,379|284,379|299,363|299,363|299,363|290,362|275,362|261,347|250,343|239,343|239,343|
226,343|231,343|265,339|280,335|298,333|305,333|326,315|315,315|300,316|300,316|300,316|272,335|254,340|251,370|237,376|222,379|207,377|205,368|205,335|205,335|
181,304|140,304|126,303|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|437,462|445,415|460,406|450,396|428,396|429,381|429,380|
429,380|429,380|408,377|406,376|406,376|406,376|406,376|406,376|406,376|403,376|399,376|399,376|399,377|399,377|399,377|387,377|386,368|387,363|387,363|387,363|
364,363|352,363|345,362|340,362|304,356|274,356|266,348|266,348|266,348|266,348|266,348|266,348|266,348|262,350|262,350|251,360|256,366|289,382|289,382|289,382|
289,382|289,382|
